"label","text"
1,"a handful It"
0,"a handful A heavy , kerchiefed woman"
0,"supplies materials"
0,"supplies His allotment of materials"
1,"supplies seeds and machines"
1,"the average Poland"
0,"the average poor schools"
0,"the average Farm income"
0,"The potential a food crisis"
1,"The potential a food revolution"
0,"The potential Meat consumption"
1,"the old system Poland"
0,"the old system The World Bank"
0,"the old system the line"
1,"millions farmers"
0,"millions The Peasants"
0,"millions new political parties for farmers"
0,"a nearby village two miles from the Soviet border"
0,"a nearby village the Soviet border"
1,"a nearby village Grabowiec , two miles from the Soviet border in one of Poland 's poorest places"
1,"the exploration and production division , which is responsible for locating oil reserves , drilling wells and pumping crude oil and natural gas the company 's"
0,"the exploration and production division , which is responsible for locating oil reserves , drilling wells and pumping crude oil and natural gas the U.S."
0,"the exploration and production division , which is responsible for locating oil reserves , drilling wells and pumping crude oil and natural gas its work force in the U.S."
1,"Employees the company 's"
0,"Employees the company 's strategy"
0,"Employees individuals familiar with the company 's strategy"
1,"A company spokesman , reached at his home last night , our"
0,"A company spokesman , reached at his home last night , employees in our U.S. operations"
0,"A company spokesman , reached at his home last night , our U.S. operations"
1,"domestic exploration and production operations Mobil"
0,"domestic exploration and production operations Most oil companies , including Mobil ,"
0,"domestic exploration and production operations its U.S. work force"
1,"Daily output this country"
0,"Daily output Mobil"
0,"Daily output 500,000 barrels a day"
1,"workers Mobil"
0,"workers this country"
0,"workers Daily output"
1,"overseas operations Mobil"
0,"overseas operations workers"
0,"overseas operations One Mobil executive"
1,"Creator the program"
0,"Creator Last week"
0,"Creator CBS"
1,"the cast the program"
0,"the cast CBS executives"
0,"the cast the available television households"
0,"the right focus that"
0,"the right focus Designing Women"
1,"the right focus the program"
1,"The opening credits Teddy Z"
0,"The opening credits the office"
0,"The opening credits the story consultant on `` Teddy Z"
1,"viewers who have not been with us since the beginning Teddy Z"
0,"viewers who have not been with us since the beginning The opening credits"
0,"viewers who have not been with us since the beginning but nothing radical"
1,"55,000 machinists Boeing"
0,"55,000 machinists Boeing Co."
0,"55,000 machinists The 300 and 400 series aircraft"
1,"a pay raise offer of 10 % over three years the company"
0,"a pay raise offer of 10 % over three years a strike of 55,000 machinists , which entered its 22nd day today"
0,"a pay raise offer of 10 % over three years Boeing"
1,"the state department of finance the state"
0,"the state department of finance funds"
0,"the state department of finance That"
0,"Gov. George Deukmejian the state department of finance"
1,"Gov. George Deukmejian California 's"
0,"Gov. George Deukmejian a hurry"
1,"the legislature California 's"
0,"the legislature California 's Assembly"
0,"the legislature speaker of California 's Assembly"
1,"state gasoline taxes the state"
0,"state gasoline taxes the state 's most influential legislator"
0,"state gasoline taxes the state can raise from existing sources and the federal government"
1,"the meantime June"
0,"The claims , which were filed with the State Board of Control but will probably end up in court , the state senate 's"
0,"The claims , which were filed with the State Board of Control but will probably end up in court , the state"
1,"The claims , which were filed with the State Board of Control but will probably end up in court , a legal battle against the state over whether officials adequately heeded warnings about the structure 's safety"
0,"reasonable changes design of the structure"
1,"reasonable changes the structure"
0,"reasonable changes the so - called Cypress structure viaduct"
0,"the cliche an aural collage of Debussy and Rachmaninoff , which is less a score than a separate character with a distinct point of view"
1,"the cliche the song 's"
0,"the cliche less a score than a separate character with a distinct point of view"
1,"the previous month September"
1,"The outlook the U.K. economy"
0,"The outlook increasing concern that a recession could strike the U.K. economy next year"
0,"The outlook a 16 - month series of interest - rate increases that has raised banks ' base lending rates to 15 %"
1,"output the U.K. economy"
0,"output Britain 's"
0,"output increasing concern that a recession could strike the U.K. economy next year"
0,"31 % the industry group 's"
1,"31 % 1,224 companies surveyed"
0,"31 % businesses"
1,"a year September"
0,"a year yesterday"
0,"a result the European Community 's plan to create a unified market by 1992"
1,"a result both higher inflation and lower growth"
0,"a result lower growth"
1,"Breeders racehorses"
0,"Breeders bluebloods"
0,"Breeders high prices"
1,"the home stretch the Laurel race track"
0,"the home stretch this game"
0,"the home stretch his racing program"
0,"the market people like Tim Hulings , a beer packaging plant worker"
1,"the market all his stocks"
0,"the market his"
1,"the summer sales the thoroughbred racehorse market"
0,"the summer sales prices for the best yearlings"
0,"the summer sales Other investors"
0,"the winner 's that"
1,"the winner 's the sport"
0,"the winner 's the elan of the sport"
0,"investors owners"
1,"investors this"
0,"investors Some badly managed partnerships"
0,"industry `` consultants investors"
1,"industry `` consultants this"
0,"industry `` consultants owners"
0,"exports Japan 's production of cars , trucks and buses in September"
1,"exports Japan 's"
0,"exports a year"
1,"an association spokesman The association"
0,"an association spokesman domestic demand"
0,"an association spokesman Japanese manufacturers"
1,"a year September"
0,"president it"
1,"president Staar Surgical Co. 's"
0,"president Thomas R. Waggoner"
0,"chief executive officer it"
1,"chief executive officer Staar Surgical Co. 's"
0,"chief executive officer Thomas R. Waggoner"
0,"executive vice president , sales and marketing it"
1,"executive vice president , sales and marketing Staar Surgical Co. 's"
0,"executive vice president , sales and marketing Thomas R. Waggoner"
0,"two directors the board"
1,"two directors they"
0,"two directors Staar Surgical Co. 's"
0,"senior vice president that office"
0,"senior vice president the Canadian head office"
1,"senior vice president this insurer"
0,"recent failures a glut of new titles"
1,"recent failures new titles"
0,"recent failures spiraling costs and a glut of new titles"
0,"industry figures released at the meeting here the future of the magazine industry"
0,"industry figures released at the meeting here a stagnant or declining industry"
1,"industry figures released at the meeting here the magazine industry"
0,"managing partner the long - troubled Venture magazine"
1,"managing partner American Health Partners , publisher of American Health magazine ,"
0,"managing partner publisher of American Health magazine"
1,"the economy Poland 's"
0,"the economy Poland 's rapid shift from socialism to an undefined alternative"
0,"the economy socialism"
1,"the Environment Ministry Poland 's"
0,"the Environment Ministry the economy"
0,"the Environment Ministry broader movements to restructure the economy , cut cumbersome bureaucracies , and democratize local politics"
0,"The answer similar market approaches to address pollution"
1,"The answer Why did East Bloc participants unanimously endorse market - based pollution approaches"
0,"The answer Poland 's lack of functioning markets"
0,"penalties hazard areas"
1,"penalties pollution"
0,"penalties the national average"
1,"some republics the Soviets"
0,"some republics The Palestinians"
0,"some republics Poland"
1,"subsidies industry"
0,"subsidies nationwide emissions trades to reduce smelter pollution"
0,"subsidies the fact that Poland is already working on nationwide emissions trades to reduce smelter pollution , or that the Soviets plan to introduce marketable pollution permits in some republics next year"
1,"chairman this steelmaker"
0,"chairman early retirement from this steelmaker"
0,"chairman Dec 31"
1,"a consultant this steelmaker"
0,"a consultant 58 years"
0,"a consultant Mr. Penn , 58 years old ,"
0,"the board chairman"
1,"the board this steelmaker"
0,"the board president"
1,"chairman it"
0,"chairman 64 % of the reorganized company 's common stock"
0,"chairman the reorganized company 's common stock"
1,"the shouting of `` Mort ! Mort ! Mort ! '' a studio audience"
0,"the shouting of `` Mort ! Mort ! Mort ! '' viewers"
0,"the shouting of `` Mort ! Mort ! Mort ! '' anyone 's"
0,"the next group of tough guys carrying around reputations like that linebackers"
0,"the next group of tough guys carrying around reputations like that the sort of nicknames normally associated with linebackers and heavyweight contenders"
1,"the next group of tough guys carrying around reputations like that linebackers and heavyweight contenders"
1,"good discipline his school"
0,"good discipline the general public 's"
0,"good discipline the general public 's first experience with this new breed of no - nonsense administrator"
1,"the state Jersey City"
0,"the state the country 's biggest , most troubled school districts"
0,"the state the country 's"
1,"incompetent principals American public schools"
0,"incompetent principals New York"
0,"incompetent principals attacked"
1,"the dropout rate Dade County"
0,"the dropout rate 92 teachers"
0,"the dropout rate the parents"
0,"the field their"
1,"the field power semiconductors"
0,"the field European Power Semiconductor Co."
0,"the basement her mother"
1,"the basement a white woman 's house"
0,"the basement her"
0,"the ride dreams"
0,"the ride Ms. Baker"
1,"the ride such roller coasters"
1,"a constant complication her remarkable life"
0,"a constant complication life"
0,"a constant complication a less complicated view of life"
1,"Friends She"
0,"Friends her husband"
0,"Friends the Rainbow Tribe"
0,"the early years Ms. Rose"
1,"the early years she"
0,"the early years they"
0,"Travelers BAY AREA COMMUTERS"
0,"Travelers Secretary of State"
1,"Travelers BAY AREA"
0,"the quake region last week 's"
0,"the quake region four days"
1,"the quake region last week 's temblor"
0,"a worker spokesman an electronics plant"
1,"a worker spokesman employees at an electronics plant"
0,"a worker spokesman an East Berlin suburb"
1,"The five astronauts The space shuttle Atlantis"
0,"The five astronauts Atlantis"
0,"The five astronauts an electronics plant"
0,"the landing site a desert air strip at Edwards Air Force Base , Calif. ,"
0,"the landing site Edwards Air Force Base , Calif. ,"
1,"the landing site The space shuttle Atlantis"
1,"workers a Phillips Petroleum Co. plastics plant near Pasadena , Texas ,"
0,"workers the base"
0,"workers Pasadena , Texas ,"
1,"the five - point formula Secretary of State Baker 's plan for Mideast peace talks"
0,"the five - point formula Mideast peace talks"
0,"the five - point formula the bid"
0,"the room Movieline"
0,"the room restaurants -LRB- in this case , the Russian Samovar , a New York restaurant operated by and for Soviet emigres -RRB-"
1,"the room the Russian Samovar , a New York restaurant operated by and for Soviet emigres"
1,"Guests coffee and clips in the pleasure dome"
0,"Guests the pleasure dome"
0,"Guests other show business people"
0,"co-publisher Boris Krutchensky"
0,"co-publisher the Volokhs"
1,"co-publisher Movieline"
0,"The wait her job"
0,"The wait their second child"
1,"The wait leave"
1,"business manager their computer company , Vesoft ,"
0,"business manager the office"
0,"business manager a fund - raising organization"
1,"bookkeeper their computer company , Vesoft ,"
0,"bookkeeper the office"
0,"bookkeeper a fund - raising organization"
1,"publicist their computer company , Vesoft ,"
0,"publicist bookkeeper"
0,"publicist she"
1,"Days one morning last month"
0,"the thieves his front yard where his prized miniature palms , called cycads , once stood"
0,"the thieves last month"
1,"the thieves his prized miniature palms , called cycads ,"
0,"residents tony new housing tracts"
0,"residents a popular accent in tony new housing tracts"
1,"residents Garden Grove , Calif. , where five such thefts have been reported in the past several weeks"
1,"opposition Japan"
0,"opposition this time"
0,"opposition it"
1,"ruling - party members Japan"
0,"ruling - party members opposition"
0,"ruling - party members this time"
1,"the committee one budget committee session"
0,"the committee ruling - party members"
0,"the committee ruling Liberal Democratic Party demands that opposition members testify under oath in parliament"
0,"Devotees Garish neon pachinko marquees"
1,"Devotees pachinko"
0,"Devotees cities and towns across the country"
0,"the real income a reported annual income of 13 trillion yen -LRB- almost $ 92 billion -RRB- , or nearly the size of Japan 's vaunted automobile industry"
0,"the real income 13 trillion yen -LRB- almost $ 92 billion -RRB-"
1,"the real income the pachinko industry"
1,"income the industry"
0,"income a badly needed several trillion yen"
0,"income the government"
1,"support Japan Socialist Party members"
0,"support Japan Socialist Party"
0,"support it"
1,"the contributions the LDP members received pachinko organizations"
0,"the contributions the LDP members received members of the ruling LDP"
0,"the contributions the LDP members received the ruling LDP"
0,"residents ' their"
0,"residents ' the way many Japanese do"
1,"residents ' Japan"
1,"the musicians orchestras"
0,"the musicians tune"
0,"the musicians the only note that 's truly in tune"
0,"the first movement the score"
0,"the first movement me"
1,"the first movement the work"
1,"the end the first movement"
0,"the end the score"
0,"the end much"
1,"all the hard work I"
0,"all the hard work some way"
0,"all the hard work A normal person"
1,"The opening show Mancuso FBI"
0,"The opening show week"
0,"The opening show Week by week"
0,"the biggest villains a little"
0,"the biggest villains last week 's"
1,"the biggest villains last week 's rape case"
1,"Executive Producers It"
0,"Executive Producers an intriguing central character"
0,"Executive Producers a major flaw"
0,"writer ⁄ producers Executive Producers"
1,"writer ⁄ producers It"
0,"writer ⁄ producers an intriguing central character"
1,"The scars prejudice and hate"
0,"The scars people 's"
0,"The scars your career"
1,"drapes her apartment"
0,"drapes disappears"
0,"drapes some interesting , even occasionally surprising plot lines"
0,"walls drapes"
1,"walls her apartment"
0,"walls heart"
1,"a rescue AG"
0,"a rescue Societe Generale de Belgique S.A. , which already owns 18 % of AG and which itself is controlled by Cie . Financiere de Suez , the acquisitive French financial conglomerate"
0,"a rescue the acquisitive French financial conglomerate"
1,"the justices the Supreme Court"
0,"the justices Missouri 's abortion restrictions"
0,"the justices Missouri 's"
1,"the rival Issak clan President Barre 's"
0,"the rival Issak clan President Barre 's troops"
0,"the rival Issak clan the behavior of President Barre 's troops"
1,"The study a painstakingly documented report , based on hundreds of interviews with randomly selected refugees"
0,"The study Each man"
0,"The study death"
0,"military aid its"
0,"military aid the U.S."
1,"military aid Somalia"
1,"the successor him"
0,"the successor Mr. Barre 's days"
0,"the successor its own position in the country"
1,"most member nations the Organization of Petroleum Exporting Countries"
0,"most member nations Output from the Organization of Petroleum Exporting Countries"
0,"most member nations world oil markets"
0,"members most member nations"
1,"members OPEC"
0,"members industry and OPEC officials"
1,"some members OPEC"
0,"some members the effort by some oil ministers to get OPEC to approve a new permanent production - sharing agreement next month"
0,"some members OPEC oil"
0,"prices OPEC"
1,"prices OPEC oil"
0,"prices rising demand for OPEC oil"
0,"interviews their countries"
1,"interviews their comments to the conference"
0,"interviews Iraq"
0,"countries with the most unused oil capacity the production capacity and reserves of each member"
1,"countries with the most unused oil capacity OPEC"
0,"countries with the most unused oil capacity their countries"
1,"the existing formula their production ceiling"
0,"the existing formula it"
0,"the existing formula a day"
0,"even those countries that could n't produce more the good to be told you can produce at 105 % of capacity"
1,"even those countries that could n't produce more OPEC 's"
0,"even those countries that could n't produce more capacity"
1,"those with unused capacity the group 's"
0,"those with unused capacity its"
0,"those with unused capacity the group 's total output target"
0,"increases a 24.5 % share of any ceiling"
1,"increases any ceiling"
0,"increases some OPEC sources"
1,"the proposed modifications since it"
0,"the proposed modifications since a 24.5 % share of any ceiling"
0,"the proposed modifications since increases"
1,"the production - sharing pool OPEC"
0,"the production - sharing pool all members"
0,"the production - sharing pool the pro rata distribution of increases to all members"
1,"a resident the hard - hit Marina neighborhood"
0,"a resident Marina"
0,"a resident the earthquake"
1,"the city 's the hard - hit Marina neighborhood"
0,"the city 's Saturday morning"
0,"the city 's Saturday night"
0,"a nearby corner the city"
1,"a nearby corner a street of fractured and fallen houses"
0,"a nearby corner their way"
1,"The cafeteria The Marina rescue center"
0,"The cafeteria a health club , which offered up its showers , saunas and hot tubs"
0,"The cafeteria a free shuttle bus to a health club , which offered up its showers , saunas and hot tubs"
1,"earthquake victims This"
0,"earthquake victims a 15 - pound earthquake"
0,"earthquake victims dinner"
0,"residents her building"
1,"residents buildings with substantial damage"
0,"residents her"
0,"limited access her building"
0,"limited access residents"
1,"limited access buildings with substantial damage"
0,"residents her building"
1,"residents buildings with substantial damage"
0,"residents her"
1,"a resident who was n't allowed to go back inside One building"
0,"a resident who was n't allowed to go back inside Some residents"
0,"a resident who was n't allowed to go back inside `` red '' buildings"
1,"the stairs One building"
0,"the stairs a resident who was n't allowed to go back inside"
0,"the stairs `` red '' buildings"
1,"the lobby One building"
0,"the lobby the stairs"
0,"the lobby a resident who was n't allowed to go back inside"
1,"one last load One building"
0,"one last load goods"
0,"one last load people"
0,"an exodus of the jobs that the major chains used to provide to community residents the exodus of shopping opportunities"
0,"an exodus of the jobs that the major chains used to provide to community residents the more typical inner - city pattern , in which commercial areas are taken over by unruly youth , gangs , and the criminal element , with an erosion of the customer base , development capital , and insurability"
1,"an exodus of the jobs that the major chains used to provide to community residents a high - crime area"
1,"the construction phase The center"
0,"the construction phase capital and investment"
0,"the construction phase the exodus of capital and investment"
0,"14 % blacks"
0,"14 % date"
1,"14 % the stores"
0,"prospective tenants patience"
0,"prospective tenants One of these centers"
1,"prospective tenants these centers"
0,"financing Security costs"
0,"financing citizen groups"
1,"financing these centers"
1,"lighting levels the entire center"
0,"lighting levels a pleasing and non-fortress - like appearance"
0,"lighting levels a 6 - to - 8 - foot - high ornamental iron fence with a small number of remote - controlled gates"
1,"The security command post , camouflaged as second - story retail space , the entire center"
0,"The security command post , camouflaged as second - story retail space , three to five times the industry standard"
0,"The security command post , camouflaged as second - story retail space , closed - circuit TV cameras"
1,"the risks and rewards investment"
0,"the risks and rewards a major new untapped market for investment"
0,"the risks and rewards these markets"
0,"The answer themselves"
0,"The answer Vermont - Slauson"
1,"The answer wonder"
1,"the south its"
0,"the south a day"
0,"the south Part of the bridge"
1,"Financial District San Francisco"
0,"Financial District the East Bay and San Francisco"
0,"Financial District Marin County"
1,"one official Officials"
0,"one official her"
0,"one official the transbay tube"
1,"Mayor Art Agnos our"
0,"Mayor Art Agnos the city 's tourism boosters"
0,"Mayor Art Agnos hackles of the city 's tourism boosters"
1,"City officials our"
0,"City officials the city 's tourism boosters"
0,"City officials hackles of the city 's tourism boosters"
1,"the expensive unknowns highway repair , which could exceed $ 1 billion"
0,"the expensive unknowns All estimates"
0,"the expensive unknowns Bay area"
1,"City building codes San Francisco 's"
0,"City building codes we"
0,"City building codes many of these buildings"
1,"quake damage the disaster"
0,"quake damage the total potential claims from the disaster"
0,"quake damage some time"
1,"the legislature The state"
0,"the legislature California"
0,"the legislature California officials"
1,"a temporary state gasoline tax to raise money for earthquake relief The state"
0,"a temporary state gasoline tax to raise money for earthquake relief California officials"
0,"a temporary state gasoline tax to raise money for earthquake relief California"
1,"the voters The state"
0,"the voters state initiatives"
0,"the voters the legislature"
0,"a statewide referendum the voters"
1,"a statewide referendum The state"
0,"a statewide referendum the next year"
0,"the area , the residential Inwood section of northern Manhattan business"
1,"the area , the residential Inwood section of northern Manhattan The Bakersfield Supermarket"
0,"the area , the residential Inwood section of northern Manhattan customers"
1,"the owner The business"
0,"the owner the residential Inwood section of northern Manhattan"
0,"the owner the area , the residential Inwood section of northern Manhattan"
0,"The owner the owner"
1,"The owner The business"
0,"The owner the residential Inwood section of northern Manhattan"
0,"Two weeks The first time"
1,"Two weeks The second time"
0,"Two weeks he"
1,"353 responses a questionnaire"
0,"353 responses 1,124 businesses"
0,"353 responses the highest crime community in the country"
1,"employees or owners 22 % of the firms"
0,"employees or owners 1,124 businesses"
0,"employees or owners The survey"
0,"the citywide average each year"
0,"the citywide average their"
1,"the citywide average burglary rates"
1,"the premises their liquor store"
0,"the premises business"
0,"the premises four robbery deaths"
1,"local residents Underclass neighborhoods"
0,"local residents the premises"
0,"local residents National Institute of Justice"
1,"the respondents the New York survey"
0,"the respondents The number one proposal for reducing crime in the New York survey"
0,"the respondents New York"
1,"those jobs and sales taxes small - business areas"
0,"those jobs and sales taxes cities losing business to suburban shopping centers"
0,"those jobs and sales taxes business"
0,"the glamorous clientele the bar of the Four Seasons restaurant"
1,"the glamorous clientele the Four Seasons restaurant"
0,"the glamorous clientele Four Seasons"
0,"the elegant setting the bar of the Four Seasons restaurant"
1,"the elegant setting the Four Seasons restaurant"
0,"the elegant setting architect William McDonough"
0,"the sales proceeds the center"
1,"the sales proceeds a foot - tall chocolate model of the center"
0,"the sales proceeds the holidays"
1,"the executive director 's the fund 's"
0,"the executive director 's The offices"
0,"the executive director 's the fund 's building"
0,"the desks the floors in the executive director 's office"
0,"the desks the tacked - down carpets"
1,"the desks the fund 's building"
0,"The budget the fund 's"
0,"The budget the executive director 's"
1,"The budget the fund 's building"
1,"Economists and administrators The fund 's"
0,"Economists and administrators The fund 's lawyers"
0,"Economists and administrators Mr. McDonough"
0,"the trees the fund"
1,"the trees the office"
0,"the trees Frederic Krupp , executive director of the fund"
1,"black granite table tops It"
0,"black granite table tops Mr. McDonough 's"
0,"black granite table tops Paul Stuart"
0,"a gray terrazzo with zinc - strip floors black granite table tops"
1,"a gray terrazzo with zinc - strip floors It"
0,"a gray terrazzo with zinc - strip floors aluminum"
1,"friends Mr. McDonough"
0,"friends Paul Stuart"
0,"friends paneling at Paul Stuart"
1,"discussions Mr. Muniak 's company , Balag Ltd. ,"
0,"discussions The future of the forest"
0,"discussions Balag Ltd."
1,"The characters this novel"
0,"The characters The irony in this novel"
0,"The characters novels of an earlier vintage"
0,"the takeover the business world"
0,"the takeover the assets of the successful company it hopes to acquire"
1,"the takeover the successful company it hopes to acquire"
0,"front the rickety gate at Mr. Sisulu 's modest house"
1,"front Mr. Sisulu 's modest house"
0,"front the chief public enemy"
1,"the policies of racial segregation the government"
0,"the policies of racial segregation the first ANC rally in the country in 30 years"
0,"the policies of racial segregation 30 years"
0,"the armed struggle its"
1,"the armed struggle the government and the policies of racial segregation"
0,"the armed struggle last night , when hundreds of people jammed into the Holy Cross Anglican Church in Soweto for what became the first ANC rally in the country in 30 years"
1,"President F.W. de Klerk the government"
0,"President F.W. de Klerk the ANC 's"
0,"President F.W. de Klerk the ANC 's leading figure"
1,"leaders the ANC"
0,"leaders the government"
0,"leaders the first place"
1,"any divisions the ANC"
0,"any divisions a split between the internal and external wings of the ANC and between the newly freed leaders and those activists who have emerged as leaders inside the country during their imprisonment"
0,"any divisions those activists who have emerged as leaders inside the country during their imprisonment"
